Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2021-12-13,106.950,106.950,106.300,106.420,110870
VFV,Ex:TSE | Src:Google,2021-12-14,105.850,106.310,105.280,105.940,150744
VFV,Ex:TSE | Src:Google,2021-12-15,106.250,107.630,105.940,107.590,169638
VFV,Ex:TSE | Src:Google,2021-12-16,107.550,107.550,105.860,106.100,183016
VFV,Ex:TSE | Src:Google,2021-12-17,105.500,106.550,105.080,105.960,126896
VFV,Ex:TSE | Src:Google,2021-12-20,105.190,105.210,104.380,105.100,115121
VFV,Ex:TSE | Src:Google,2021-12-21,105.900,106.780,105.360,106.750,115178
VFV,Ex:TSE | Src:Google,2021-12-22,106.390,107.200,106.390,107.150,96732
VFV,Ex:TSE | Src:Google,2021-12-23,107.510,107.900,107.410,107.580,117977
VFV,Ex:TSE | Src:Google,2021-12-24,107.800,108.100,107.400,107.730,22962
VFV,Ex:TSE | Src:Google,2021-12-29,109.020,109.470,108.850,109.090,163886
